Restaurant,Type
Runza ,Fast Food
Saladworks ,Fast Food
Sheetz ,Fast Food
Skippers  ,Fast Food
Smoothie King ,Fast Food
Sneaky Pete's ,Fast Food
Sonic ,Fast Food
Sonic Drive-In ,Fast Food
Spangles ,Fast Food
Steak-N-Shake ,Fast Food
Steak 'n Shake ,Fast Food
Steak & Shake ,Fast Food
Steak Escape ,Fast Food
Submarina ,Fast Food
Subway ,Fast Food
Taco Bell,Fast Food
Taco Bueno ,Fast Food
Taco Cabana ,Fast Food
Taco del Mar ,Fast Food
Taco Mayo ,Fast Food
Taco Tico ,Fast Food
Taco Time ,Fast Food
Ted's Hot Dogs ,Fast Food
Texadelphia ,Fast Food
The Hat ,Fast Food
The Original Hamburger Stand ,Fast Food
The Varsity ,Fast Food
The Whole Donut ,Fast Food
Togo's ,Fast Food
Tudor's Biscuit World ,Fast Food
wendys,Fast Food
Wendy's,Fast Food
Wendy's Restaurant,Fast Food
Wetzel's Pretzels ,Fast Food
Whataburger ,Fast Food
White Castle ,Fast Food
Wienerschnitzel ,Fast Food
Winchell's Donuts ,Fast Food
WingStreet ,Fast Food
Winstead's ,Fast Food
Woody's Chicago Style ,Fast Food
Yum-Yum Donuts ,Fast Food
Amy's Ice Creams ,Ice Cream
Andy's Frozen Custard ,Ice Cream
Angelo Brocato's ,Ice Cream
Australian Homemade ,Ice Cream
Bakdash ,Ice Cream
Baskin-Robbins ,Ice Cream
Beacon Drive In ,Ice Cream
Ben & Jerry's  ,Ice Cream
Berthillon ,Ice Cream
Braum's ,Ice Cream
Brigham's Ice Cream ,Ice Cream
Bruster's Ice Cream ,Ice Cream
Cadwalader's Ice Cream ,Ice Cream
Carl's Ice Cream ,Ice Cream
Carvel ,Ice Cream
Ciao Bella Gelato Company ,Ice Cream
Cold Stone Creamery ,Ice Cream
Coney Island ,Ice Cream
Cows ,Ice Cream
Diddy Riese ,Ice Cream
Dipper Dan ,Ice Cream
Dippin' Dots ,Ice Cream
Emack & Bolio's ,Ice Cream
Fentons Creamery ,Ice Cream
Fosters Freeze ,Ice Cream
Four Seas Ice Cream ,Ice Cream
Friendly's ,Ice Cream
Frost , Ice Cream
A Gelato Shoppe,Ice Cream
G&D_s ,Ice Cream
Gilles Frozen Custard ,Ice Cream
Giolitti ,Ice Cream
Graeter's ,Ice Cream
Haagen-Dazs ,Ice Cream
Handel's Homemade Ice Cream & Yogurt ,Ice Cream
Herrell's Ice Cream ,Ice Cream
High's Dairy Store ,Ice Cream
JP Licks ,Ice Cream
KaleidoScoops ,Ice Cream
Kopp's Frozen Custard ,Ice Cream
Lappert's ,Ice Cream
Lares Ice Cream Parlor ,Ice Cream
Laura Secord Chocolates ,Ice Cream
Leon's Frozen Custard ,Ice Cream
MaggieMoo's Ice Cream and Treatery ,Ice Cream
Marble Slab Creamery ,Ice Cream
Margie's Candies ,Ice Cream
Mauds Ice Cream ,Ice Cream
Max and Mina's ,Ice Cream
Maypole Ice Cream ,Ice Cream
Meadows Frozen Custard ,Ice Cream
Movenpick Ice Cream ,Ice Cream
New Zealand Natural ,Ice Cream
Newport Creamery ,Ice Cream
Oberweis Dairy ,Ice Cream
Penn State University Creamery ,Ice Cream
Piccomolo Ice Cream ,Ice Cream
Polish Water Ice ,Ice Cream
Rita's Italian Ice ,Ice Cream
San Francisco Creamery ,Ice Cream
Sanders Confectionery ,Ice Cream
Sarris Candies ,Ice Cream
Shake's Frozen Custard ,Ice Cream
SnoWizard ,Ice Cream
Steve's Ice Cream ,Ice Cream
Strickland's Frozen Custard ,Ice Cream
Swensen's Ice Cream ,Ice Cream
Tastee-Freez ,Ice Cream
TCBY ,Ice Cream
Ted Drewes ,Ice Cream
Toscanini's ,Ice Cream
Twistee Treat ,Ice Cream
Vic's Ice Cream ,Ice Cream
Wall's ice cream ,Ice Cream
Wemple and Edicks ,Ice Cream
Supa Sundaes ,Ice Cream
Wheeler's Frozen Dessert Co. ,Ice Cream
Whitey's Ice Cream ,Ice Cream
Yogen Fruz ,Ice Cream
Yogurtland ,Ice Cream
America's Incredible Pizza Company ,Pizza
Anthony's Pizza ,Pizza
Arni's Restaurant ,Pizza
Aurelio's Pizza ,Pizza
Bearno's ,Pizza
Blackjack Pizza ,Pizza
Boston Pizza ,Pizza
Buddy's Pizza ,Pizza
Bullwinkle's Restaurant ,Pizza
Cassano's Pizza King ,Pizza
Chuck E. Cheese's ,Pizza
Chuck E Cheese ,Pizza
CiCi's Pizza ,Pizza
CraftWorks Restaurants & Breweries ,Pizza
D.P. Dough ,Pizza
Dion's ,Pizza
Domino's Pizza ,Pizza
Donatos Pizza ,Pizza
DoubleDave's Pizzaworks ,Pizza
East of Chicago Pizza ,Pizza
Eatza Pizza ,Pizza
Extreme Pizza ,Pizza
Fox's Pizza Den ,Pizza
Gatti's Pizza ,Pizza
Gino's East ,Pizza
Gino's Pizza and Spaghetti ,Pizza
Giordano's Pizzeria ,Pizza
Godfather's Pizza ,Pizza
Happy's Pizza ,Pizza
Home Run Inn ,Pizza
Hungry Howie's Pizza ,Pizza
Imo's Pizza ,Pizza
Jerry's Subs & Pizza ,Pizza
John's Incredible Pizza ,Pizza
LaRosa's Pizzeria ,Pizza
Ledo Pizza ,Pizza
Little Caesars ,Pizza
Lou Malnati's Pizzeria ,Pizza
Marco's Pizza ,Pizza
Marion's Piazza ,Pizza
Mazzio's ,Pizza
Mellow Mushroom ,Pizza
Monical's Pizza ,Pizza
Mountain Mike's Pizza ,Pizza
Mr. Jim's Pizza ,Pizza
Nic-o-boli ,Pizza
Noble Roman's ,Pizza
Old Chicago  ,Pizza
Pacpizza ,Pizza
Pagliacci Pizza ,Pizza
Papa Gino's ,Pizza
Papa John's Pizza ,Pizza
Papa Murphy's ,Pizza
Pat's Pizza ,Pizza
Peter Piper Pizza ,Pizza
Pizza Fusion ,Pizza
Pizza Hut ,Pizza
Pizza Inn ,Pizza
Pizza My Heart ,Pizza
Pizza Pan ,Pizza
Pizza Patron ,Pizza
Pizza Ranch ,Pizza
Pizza Schmizza ,Pizza
Pizzeria Venti ,Pizza
Planet Pizza ,Pizza
Regina Pizzeria ,Pizza
Rocky Rococo ,Pizza
Rosati's ,Pizza
Round Table Pizza ,Pizza
Sal's Pizza ,Pizza
Sammy's Pizza ,Pizza
Sbarro ,Pizza
Shakey's Pizza ,Pizza
Showbiz Pizza Place ,Pizza
Snappy Tomato Pizza ,Pizza
Toppers Pizza ,Pizza
Vocelli Pizza ,Pizza
